	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY	FLUX
BIO0011_I	b	BIO0011_I	BIO0011	NA	Rtotalcoa_I <==> Rtotal2coa_I	C00040_I <==> CC0002_I	NA	Biomass assembly	-0.000443543186975
BIO0012_I	b	BIO0012_I	BIO0012	NA	Rtotal3coa_I <==> Rtotal4coa_I	CC0003_I <==> CC0084_I	NA	Biomass assembly	0.0
BIO0013_I	b	BIO0013_I	BIO0013	NA	Rtotal3coa_I <==> Rtotal5coa_I	CC0003_I <==> CC0086_I	NA	Biomass assembly	0.153742315906
BIO0014_I	b	BIO0014_I	BIO0014	NA	Rtotalcoa_I <==> Rtotal6coa_I	C00040_I <==> CC0123_I	NA	Biomass assembly	0.0
BIO0015_I	b	BIO0015_I	BIO0015	NA	protSfar_I + protSgerC_I + hemeprotein_I + protSfarCmet_I + protSger_I + (4.0) pepd_I + protSfarC_I + focytC_I + protSgerCmet_I + ISclustprot_I --> biomass_minor_I + apoISclustprot_I + apocytc_I + apohemeprotein_I + (6.0) protCys_I	C20120_I + CC0017_I + CC0074_I + C04748_I + CC0016_I + (4.0) C00012_I + C04506_I + M00126_I + CC0018_I + MC0137_I --> CC0156_I + MC0136_I + M02248_I + CC0075_I + (6.0) C20119_I	NA	Biomass assembly	0.0
BIO0100_I	b	BIO0100_I	BIO0100	NA	[c]: (0.202508) collg_I + (0.204599) glycogen_I + (0.058654) Glycans_I + (0.188823) RNA_I + (0.129849) PhosphoL_I + (0.029368) tre_I + (0.0001) biomass_minor_I + (1.152647) prot_mito_I + (0.117468) tag_I + (4.028712) prot_other_I --> Biomass_I	(0.202508) CC0151_I + (0.204599) C00182_I + (0.058654) CC0132_I + (0.188823) CC0120_I + (0.129849) CC0124_I + (0.029368) C01083_I + (0.0001) CC0156_I + (1.152647) MC0117_I + (0.117468) C00422_I + (4.028712) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0101_I	b	BIO0101_I	BIO0101	NA	[c]: (0.238613) collg_I + (0.069111) Glycans_I + (0.222489) RNA_I + (0.153) PhosphoL_I + (0.0001) biomass_minor_I + (1.358154) prot_mito_I + (4.746997) prot_other_I --> Biomass_I	(0.238613) CC0151_I + (0.069111) CC0132_I + (0.222489) CC0120_I + (0.153) CC0124_I + (0.0001) CC0156_I + (1.358154) MC0117_I + (4.746997) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0102_I	b	BIO0102_I	BIO0102	NA	[c]: (0.016249) DNA_I + (0.203528) glycogen_I + (0.058347) Glycans_I + (0.187835) RNA_I + (0.129169) PhosphoL_I + (0.029215) tre_I + (0.0001) biomass_minor_I + (1.146612) prot_mito_I + (0.116853) tag_I + (4.580136) prot_other_I --> Biomass_I	(0.016249) CC0121_I + (0.203528) C00182_I + (0.058347) CC0132_I + (0.187835) CC0120_I + (0.129169) CC0124_I + (0.029215) C01083_I + (0.0001) CC0156_I + (1.146612) MC0117_I + (0.116853) C00422_I + (4.580136) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0103_I	b	BIO0103_I	BIO0103	NA	[c]: (0.237144) collg_I + (0.019129) DNA_I + (0.068686) Glycans_I + (0.221119) RNA_I + (0.152058) PhosphoL_I + (0.0001) biomass_minor_I + (1.349791) prot_mito_I + (4.717767) prot_other_I --> Biomass_I	(0.237144) CC0151_I + (0.019129) CC0121_I + (0.068686) CC0132_I + (0.221119) CC0120_I + (0.152058) CC0124_I + (0.0001) CC0156_I + (1.349791) MC0117_I + (4.717767) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0104_I	b	BIO0104_I	BIO0104	NA	[c]: (0.204599) glycogen_I + (0.058654) Glycans_I + (0.188823) RNA_I + (0.129849) PhosphoL_I + (0.029368) tre_I + (0.0001) biomass_minor_I + (1.152647) prot_mito_I + (0.117468) tag_I + (4.604242) prot_other_I --> Biomass_I	(0.204599) C00182_I + (0.058654) CC0132_I + (0.188823) CC0120_I + (0.129849) CC0124_I + (0.029368) C01083_I + (0.0001) CC0156_I + (1.152647) MC0117_I + (0.117468) C00422_I + (4.604242) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0105_I	b	BIO0105_I	BIO0105	NA	[c]: (0.019129) DNA_I + (0.068686) Glycans_I + (0.221119) RNA_I + (0.152058) PhosphoL_I + (0.0001) biomass_minor_I + (1.349791) prot_mito_I + (5.391734) prot_other_I --> Biomass_I	(0.019129) CC0121_I + (0.068686) CC0132_I + (0.221119) CC0120_I + (0.152058) CC0124_I + (0.0001) CC0156_I + (1.349791) MC0117_I + (5.391734) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0106_I	b	BIO0106_I	BIO0106	NA	[c]: (0.069111) Glycans_I + (0.222489) RNA_I + (0.153) PhosphoL_I + (0.0001) biomass_minor_I + (1.358154) prot_mito_I + (5.42514) prot_other_I --> Biomass_I	(0.069111) CC0132_I + (0.222489) CC0120_I + (0.153) CC0124_I + (0.0001) CC0156_I + (1.358154) MC0117_I + (5.42514) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
BIO0107_I	b	BIO0107_I	BIO0107	NA	[c]: (0.201448) collg_I + (0.016249) DNA_I + (0.203528) glycogen_I + (0.058347) Glycans_I + (0.187835) RNA_I + (0.129169) PhosphoL_I + (0.029215) tre_I + (0.0001) biomass_minor_I + (1.146612) prot_mito_I + (0.116853) tag_I + (4.007619) prot_other_I --> Biomass_I	(0.201448) CC0151_I + (0.016249) CC0121_I + (0.203528) C00182_I + (0.058347) CC0132_I + (0.187835) CC0120_I + (0.129169) CC0124_I + (0.029215) C01083_I + (0.0001) CC0156_I + (1.146612) MC0117_I + (0.116853) C00422_I + (4.007619) CC0118_I --> CC0134_I	NA	Biomass assembly	-0.0
DGR0001_I	b	DGR0001_I	DGR0001	3.4.23.-;3.4.-.-	[c]: protein_BAC_I + h2o_I --> (0.096044) ala-L_I + (0.055304) arg-L_I + (0.04507) asn-L_I + (0.04507) asp-L_I + (0.017123) cys-L_I + (0.049203) glu-L_I + (0.049203) gln-L_I + (0.114544) gly_I + (0.017713) his-L_I + (0.05432) ile-L_I + (0.084235) leu-L_I + (0.064161) lys-L_I + (0.028735) met-L_I + (0.034639) phe-L_I + (0.04133) pro-L_I + (0.040346) ser-L_I + (0.047432) thr-L_I + (0.010628) trp-L_I + (0.025782) tyr-L_I + (0.079118) val-L_I	CC0051_I + C00001_I --> (0.096044) C00041_I + (0.055304) C00062_I + (0.04507) C00152_I + (0.04507) C00049_I + (0.017123) C00097_I + (0.049203) C00025_I + (0.049203) C00064_I + (0.114544) C00037_I + (0.017713) C00135_I + (0.05432) C00407_I + (0.084235) C00123_I + (0.064161) C00047_I + (0.028735) C00073_I + (0.034639) C00079_I + (0.04133) C00148_I + (0.040346) C00065_I + (0.047432) C00188_I + (0.010628) C00078_I + (0.025782) C00082_I + (0.079118) C00183_I	asp-1_I | asp-2_I | asp-3_I | asp-5_I | K12H4.7_I	Bacterial digestion	4.68751207327
DGR0002_I	b	DGR0002_I	DGR0002	NA	[c]: rna_BAC_I + h2o_I --> (0.267606) amp_I + (0.197183) cmp_I + (0.317684) gmp_I + (0.217527) ump_I + h_I	CC0052_I + C00001_I --> (0.267606) C00020_I + (0.197183) C00055_I + (0.317684) C00144_I + (0.217527) C00105_I + C00080_I	ND	Bacterial digestion	0.336707248855
DGR0003_I	b	DGR0003_I	DGR0003	NA	[c]: dna_BAC_I + h2o_I --> (0.246507) damp_I + (0.253493) dcmp_I + (0.253493) dgmp_I + (0.246507) dtmp_I + h_I	CC0053_I + C00001_I --> (0.246507) C00360_I + (0.253493) C00239_I + (0.253493) C00362_I + (0.246507) C00364_I + C00080_I	ND	Bacterial digestion	0.107514192289
DGR0004_I	b	DGR0004_I	DGR0004	NA	[c]: Rtotal_BAC_I --> (0.056282) ttdca_I + (0.430027) hdca_I + (0.042082) fa16p1n7_I + (0.311026) fa17c9_I + (0.065863) fa19c11_I + (0.09472) vacc_I	CC0076_I --> (0.056282) C06424_I + (0.430027) C00249_I + (0.042082) CC0077_I + (0.311026) CC0078_I + (0.065863) CC0079_I + (0.09472) CC0135_I	NA	Bacterial digestion	0.292485160577
DGR0005_L	b	DGR0005_L	DGR0005	NA	[e]: phospholipid_BAC_L --> (0.179791) pg_BAC_L + (0.750046) pe_BAC_L + (0.020146) ps_BAC_L + (0.050017) clpn_BAC_L	EC0142_L --> (0.179791) EC0059_L + (0.750046) EC0058_L + (0.020146) EC0060_L + (0.050017) EC0063_L	NA	Bacterial digestion	0.139276392943
DGR0006_L	b	DGR0006_L	DGR0006	NA	[e]: soluble_BAC_L --> (0.00625) mobd_L + (0.0002) q8_L + (0.0002) thm_L + (0.000903) thmpp_L + (0.0002) adocbl_L + (0.0002) selcys_L + (0.0002) cbl1_L + (0.000443) ribflv_L + (0.0002) pheme_L + (0.0002) pydxn_L + (0.000893) fe2_L + (0.0002) pydam_L + (0.001172) fmn_L + (0.0002) fol_L + (0.004018) acorn_L + (0.0002) pnto-R_L + (0.002774) fad_L + (0.0002) pydx_L + (0.0002) tma_L + (0.0002) acser_L	EC0072_L --> (0.00625) E06232_L + (0.0002) EC0013_L + (0.0002) E00378_L + (0.000903) E00068_L + (0.0002) E00194_L + (0.0002) E05688_L + (0.0002) E00853_L + (0.000443) E00255_L + (0.0002) E00032_L + (0.0002) E00314_L + (0.000893) E14818_L + (0.0002) E00534_L + (0.001172) E00061_L + (0.0002) E00504_L + (0.004018) E00437_L + (0.0002) E00864_L + (0.002774) E00016_L + (0.0002) E00250_L + (0.0002) E00565_L + (0.0002) E00979_L	NA	Bacterial digestion	1.07789054378
DGR0007_L	b	DGR0007_L	DGR0007	NA	BAC_L[e] + (6.0) atp_I[c] + (6.0) h2o_I[c] --> (0.129212) phospholipid_BAC_L[e] + (5.037126) protein_BAC_L[e] + (0.027377) peptido_BAC_L[e] + (0.135796) glycogen_BAC_L[e] + soluble_BAC_L[e] + (0.008331) lps_BAC_L[e] + (0.099745) dna_BAC_L[e] + (0.636031) rna_BAC_L[e] + (6.0) adp_I[c] + (6.0) h_I[c] + (6.0) pi_I[c]	EC0050_L + (6.0) C00002_I + (6.0) C00001_I --> (0.129212) EC0142_L + (5.037126) EC0051_L + (0.027377) EC0054_L + (0.135796) EC0065_L + EC0072_L + (0.008331) EC0055_L + (0.099745) EC0053_L + (0.636031) EC0052_L + (6.0) C00008_I + (6.0) C00080_I + (6.0) C00009_I	NA	Bacterial digestion	1.07789054378
DGR0008_L	b	DGR0008_L	DGR0008	NA	protein_BAC_L[e] --> protein_BAC_I[c]	EC0051_L --> CC0051_I	NA	Bacterial digestion	4.68751207327
DGR0009_L	b	DGR0009_L	DGR0009	NA	rna_BAC_L[e] --> rna_BAC_I[c]	EC0052_L --> CC0052_I	NA	Bacterial digestion	0.336707248855
DGR0010_L	b	DGR0010_L	DGR0010	NA	dna_BAC_L[e] --> dna_BAC_I[c]	EC0053_L --> CC0053_I	NA	Bacterial digestion	0.107514192289
DGR0011_L	b	DGR0011_L	DGR0011	NA	peptido_BAC_L[e] --> peptido_BAC_I[c]	EC0054_L --> CC0054_I	NA	Bacterial digestion	0.029509409417
DGR0012_I	b	DGR0012_I	DGR0012	TBD	[c] : peptido_BAC_I + h_I + (8) h2o_I --> (2) acgam_I + lac-D_I + glu-L_I + (3) ala-L_I + lys-L_I + co2_I	CC0054_I + C00080_I + (8.0) C00001_I --> (2.0) C00140_I + C00256_I + C00025_I + (3.0) C00041_I + C00047_I + C00011_I	ND	Bacterial digestion	0.029509409417
DGR0013_L	b	DGR0013_L	DGR0013	TBD	[e] : lps_BAC_L --> lipa_BAC_L + outerlps_BAC_L	EC0055_L --> EC0056_L + EC0057_L	ND	Bacterial digestion	0.00897990612021
DGR0014_L	b	DGR0014_L	DGR0014	NA	lipa_BAC_L[e] --> lipa_BAC_I[c]	EC0056_L --> CC0056_I	NA	Bacterial digestion	0.0
DGR0015_L	b	DGR0015_L	DGR0015	NA	outerlps_BAC_L[e] --> outerlps_BAC_I[c]	EC0057_L --> CC0057_I	NA	Bacterial digestion	0.00897990612021
DGR0016_I	b	DGR0016_I	DGR0016	TBD	[c] : lipa_BAC_I + (4) nadh_I + (5) h2o_I --> ddca_I + (5) ttdca_I + (4) nad_I + (2) r5p_I + (2) pyr_I + (2) gam_I	CC0056_I + (4.0) C00004_I + (5.0) C00001_I --> C02679_I + (5.0) C06424_I + (4.0) C00003_I + (2.0) C00117_I + (2.0) C00022_I + (2.0) C00329_I	ND	Bacterial digestion	-0.0
DGR0017_I	b	DGR0017_I	DGR0017	TBD	[c] : outerlps_BAC_I + (10) h2o_I + (4) h_I + (2) nadh_I --> (9) glc-D-A_I + (2) etha_I + pyr_I + (2) nad_I	CC0057_I + (10.0) C00001_I + (4.0) C00080_I + (2.0) C00004_I --> (9.0) C00267_I + (2.0) C00189_I + C00022_I + (2.0) C00003_I	ND	Bacterial digestion	0.00897990612021
DGR0018_L	b	DGR0018_L	DGR0018	NA	pe_BAC_L[e] --> pe_BAC_I[c]	EC0058_L --> CC0058_I	NA	Bacterial digestion	0.104463701421
DGR0019_I	b	DGR0019_I	R02053	3.1.1.4	[c] : pe_BAC_I + (2) h2o_I --> g3pe_I + (2) Rtotal_BAC_I + (2) h_I	CC0058_I + (2.0) C00001_I --> C01233_I + (2.0) CC0076_I + (2.0) C00080_I	ipla-1_I | ipla-2_I | ipla-3_I | ipla-4_I | ipla-5_I | ipla-6_I | ipla-7_I | C07E3.9_I | Y69A2AL.2_I	Bacterial digestion	0.104463701421
DGR0020_L	b	DGR0020_L	DGR0020	NA	pg_BAC_L[e] --> pg_BAC_I[c]	EC0059_L --> CC0059_I	NA	Bacterial digestion	0.0250406419635
DGR0021_I	b	DGR0021_I	DGR0021	3.1.1.4	[c] : pg_BAC_I + (3) h2o_I --> glyc3p_I + glyc_I + (2) Rtotal_BAC_I + (3) h_I	CC0059_I + (3.0) C00001_I --> C00093_I + C00116_I + (2.0) CC0076_I + (3.0) C00080_I	ipla-1_I | ipla-2_I | ipla-3_I | ipla-4_I | ipla-5_I | ipla-6_I | ipla-7_I | C07E3.9_I | Y69A2AL.2_I	Bacterial digestion	0.0320068293094
DGR0022_L	b	DGR0022_L	DGR0022	NA	clpn_BAC_L[e] --> clpn_BAC_I[c]	EC0063_L --> CC0063_I	NA	Bacterial digestion	0.00696618734581
DGR0023_I	b	DGR0023_I	DGR0023	TBD	[c] : clpn_BAC_I + h2o_I --> pg_BAC_I + pa_BAC_I + h_I	CC0063_I + C00001_I --> CC0059_I + CC0064_I + C00080_I	ND	Bacterial digestion	0.00696618734581
DGR0024_I	b	DGR0024_I	DGR0024	3.1.1.4	[c] : pa_BAC_I + (3) h2o_I --> glyc_I + (2) Rtotal_BAC_I + (2) h_I + pi_I	CC0064_I + (3.0) C00001_I --> C00116_I + (2.0) CC0076_I + (2.0) C00080_I + C00009_I	ipla-1_I | ipla-2_I | ipla-3_I | ipla-4_I | ipla-5_I | ipla-6_I | ipla-7_I | C07E3.9_I | Y69A2AL.2_I	Bacterial digestion	0.00696618734581
DGR0025_L	b	DGR0025_L	DGR0025	NA	ps_BAC_L[e] --> ps_BAC_I[c]	EC0060_L --> CC0060_I	NA	Bacterial digestion	0.00280586221222
DGR0026_I	b	DGR0026_I	DGR0026	3.1.1.4	[c] : ps_BAC_I + (3) h2o_I --> pser-L_I + glyc_I + (2) Rtotal_BAC_I + (3) h_I	CC0060_I + (3.0) C00001_I --> C01005_I + C00116_I + (2.0) CC0076_I + (3.0) C00080_I	ipla-1_I | ipla-2_I | ipla-3_I | ipla-4_I | ipla-5_I | ipla-6_I | ipla-7_I | C07E3.9_I | Y69A2AL.2_I	Bacterial digestion	0.00280586221222
DGR0027_L	b	DGR0027_L	DGR0027	NA	glycogen_BAC_L[e] --> glycogen_BAC_I[c]	EC0065_L --> CC0065_I	NA	Bacterial digestion	0.146373224283
DGR0028_I	b	DGR0028_I	R01821	2.4.1.1	[c] : glycogen_BAC_I + (0.5) pi_I --> (0.5) g1p_I + (0.5) dxtrn1_I	CC0065_I + (0.5) C00009_I --> (0.5) C00103_I + (0.5) CC0046_I	T22F3.3_I	Bacterial digestion	0.146373224283
DGR0029_E	b	DGR0029_E	DGR0029	NA	[e] : (2) h2o_E + thmpp_E --> h_E + (2) pi_E + thm_E	(2.0) E00001_E + E00068_E --> E00080_E + (2.0) E00009_E + E00378_E	NA	Bacterial digestion	0.0
DGR0029_L	b	DGR0029_L	DGR0029	NA	[e] : (2) h2o_L + thmpp_L --> h_L + (2) pi_L + thm_L	(2.0) E00001_L + E00068_L --> E00080_L + (2.0) E00009_L + E00378_L	NA	Bacterial digestion	0.000973335161031
DMN0001_I	d	DMN0001_I	DMN0001	NA	[c] : pydx5p_I -->	C00018_I -->	NA	Vitamin B6 metabolism	-0.0
DMN0002_I	d	DMN0002_I	DMN0002	NA	[m] : adocbl_I -->	M00194_I -->	NA	Vitamin B12 metabolism	0.000215578108737
DMN0005_I	d	DMN0005_I	DMN0005	NA	[m] : hemeo_I -->	M15672_I -->	NA	Iron metabolism	0.0
