	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
asn-L	C00152	asn-L	L-Asparagine	C4H8N2O3	0.0	BiGG compound	asn-L	2-Aminosuccinamic acid
3ohcoa	C05269	3ohcoa	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4.0	BiGG compound	3ohcoa	3-Ketohexanoyl-CoA
octpmn	C04227	octpmn	Octopamine	C8H12NO2	1.0	charge based on Metacyc		1-(4-Hydroxyphenyl)-2-aminoethanol, p-Hydroxyphenylethanolamine
4hbzcoa	C02949	4hbzcoa	4-hydroxybenoyl-CoA	C28H36N7O18P3S	-4.0	BiGG compound	4hbzcoa	4-Hydroxybenzoyl-CoA
fa17c9	CC0078	fa17c9	cis-9,10-methylenehexadecanoic acid	C17H31O2	-1.0	charge is obvious based on general rules and similar compounds		
gthrd	C00051	gthrd	Reduced glutathione	C10H16N3O6S	-1.0	BiGG compound	gthrd	Glutathione, 5-L-Glutamyl-L-cysteinylglycine, N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine, gamma-L-Glutamyl-L-cysteinyl-glycine, GSH
etoh	C00469	etoh	Ethanol	C2H6O	0.0	BiGG compound	etoh	Ethyl alcohol, Methylcarbinol
dopa	C03758	dopa	Dopamine	C8H12NO2	1.0	BiGG compound	dopa	4-(2-Aminoethyl)-1,2-benzenediol, 4-(2-Aminoethyl)benzene-1,2-diol, 3,4-Dihydroxyphenethylamine, 2-(3,4-Dihydroxyphenyl)ethylamine
3ohdcoa	C05259	3ohdcoa	3-Oxohexadecanoyl-CoA	C37H60N7O18P3S	-4.0	BiGG compound	3ohdcoa	3-Oxopalmitoyl-CoA, 3-Ketopalmitoyl-CoA
ahdt	C04895	ahdt	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"	C9H12N5O13P3	-4.0	BiGG compound	ahdt	7,8-Dihydroneopterin 3'-triphosphate, 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate, 6-(L-erythro-1,2-Dihydroxypropyl 3-triphosphate)-7,8-dihydropterin, 6-[(1S,2R)-1,2-Dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin
urea	C00086	urea	Urea	CH4N2O	0.0	BiGG compound	urea	Carbamide
trdrd	C00342	trdrd	Reduced thioredoxin	XH2	0.0	BiGG compound	trdrd	Thioredoxin
udpgal	C00052	udpgal	UDPgalactose	C15H22N2O17P2	-2.0	BiGG compound	udpgal	UDP-alpha-D-galactose, UDP-D-galactose, UDP-galactose, UDP-D-galactopyranose, UDP-alpha-D-galactopyranose
chito2pdol	C04537	chito2pdol	N,N'-Diacetylchitobiosyldiphosphodolichol	C126H206N2O17P2	-2.0	assumed n=18 for the number of isoprene units	chito2pdol_L,chito2pdol_U	Chitobiosyldiphosphodolichol
3npdhb_me	CC0007	3npdhb_me	3-nonaprenyl-4-hydroxy-5-methoxybenzoate	C53H79O4	-1.0	charge based on 3dpdhb_me in BIGG		
ak2lgchol	C04317	ak2lgchol	1-Alkyl-2-lyso-sn-glycero-3-phosphocholine	C26.0H56.0N1.0O6.0P1.0	-0.0	charge based on human version in BiGG	ak2lgchol_hs	1-Organyl-2-lyso-sn-glycero-3-phosphocholine, 1-Radyl-2-lyso-sn-glycero-3-phosphocholine, 1-Alkyl-sn-glycero-3-phosphocholine
lgt-S	C03451	lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1.0	BiGG compound	lgt-S	S-D-Lactoylglutathione
rq9h2	CC0158	rq9h2	Rhodoquinonol-9	C53H83NO3	0.0	charge and formula based on rq9 and qh2		
3hfa19p0iso	CC0170	3hfa19p0iso	3-hydroxy-17-methyloctadecanoic acid	C19H37O3	-1.0	charge is based on the fatty acid chain		
trnatrp	C01652	trnatrp	tRNA(Trp)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnatrp	
lnlccoa	C02050	lnlccoa	linoleic coenzyme A	C39H62N7O17P3S	-4.0	BiGG compound	lnlccoa	Linoleoyl-CoA, (9Z,12Z)-Octadecadienoyl-CoA
cyan	C01326	cyan	Hydrogen cyanide	CHN	0.0	BiGG compound	cyan	HCN, Cyanide
s7p	C05382	s7p	Sedoheptulose 7-phosphate	C7H13O10P	-2.0	BiGG compound	s7p	D-Sedoheptulose 7-phosphate, D-altro-Heptulose 7-phosphate, altro-Heptulose 7-phosphate
fad	C00016	fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2.0	BiGG compound	fad	FAD, Flavin adenine dinucleotide
fald	C00067	fald	Formaldehyde	CH2O	0.0	BiGG compound	fald	Methanal, Oxomethane, Oxomethylene, Methylene oxide, Formalin
Nforglu	C01045	Nforglu	N-Formyl-L-glutamate	C6H9NO5	0.0	BiGG compound	Nforglu	
din	C05512	din	Deoxyinosine	C10H12N4O4	0.0	BiGG compound	din	
tmndnccrn	CC0104	tmndnccrn	Timnodonyl carnitine	C27H43NO4	0.0	charge and formula based on other acyl carnitines	tmndnccrn	
chol	C00114	chol	Choline	C5H14NO	1.0	BiGG compound	chol	Bilineurine
fa16p1n7	CC0077	fa16p1n7	Palmitoleic acid	C16H29O2	-1.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
tre	C01083	tre	Trehalose	C12H22O11	0.0	BiGG compound	tre	alpha,alpha-Trehalose, alpha,alpha'-Trehalose
5aizc	C04751	5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P	-3.0	BiGG compound	5aizc	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole, 5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole, 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole
prot_mito	CC0117	prot_mito	Mitochondrial protein	C4.8102H7.6357N1.3358O1.4603S0.0291	-0.0119	for biomass equation; charge does not matter		
cholcoaone	C05467	cholcoaone	"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA"	C48H74N7O21P3S	-4.0	BiGG compound	cholcoaone	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA, 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-CoA
q	C00399	q	Ubiquinone	C14H18O4	0.0	BiGG compound	q	Coenzyme Q, CoQ, Q
oaa	C00036	oaa	Oxaloacetate	C4H2O5	-2.0	BiGG compound	oaa	Oxalacetic acid, Oxaloacetic acid, 2-Oxobutanedioic acid, 2-Oxosuccinic acid, keto-Oxaloacetate
cdp	C00112	cdp	CDP	C9H12N3O11P2	-3.0	BiGG compound	cdp	Cytidine 5'-diphosphate, Cytidine diphosphate
malt	C00208	malt	Maltose	C12H22O11	0.0	BiGG compound	malt	Malt sugar, alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
cmp	C00055	cmp	CMP	C9H12N3O8P	-2.0	BiGG compound	cmp	Cytidine-5'-monophosphate, Cytidylic acid
glc-D	C00031	glc-D	D-Glucose	C6H12O6	0.0	BiGG compound	glc-D	Grape sugar, Dextrose, Glucose, D-Glucopyranose
prpncoa	C00894	prpncoa	Propenoyl-CoA	C24H34N7O17P3S	-4.0	BiGG compound	prpncoa	Acryloyl-CoA, Acrylyl-CoA
alpro	C01242	alpro	S-Aminomethyldihydrolipoylprotein	CH6NS2X	1.0	BiGG compound	alpro	[Protein]-S8-aminomethyldihydrolipoyllysine, H-Protein-S-aminomethyldihydrolipoyllysine
orot	C00295	orot	Orotate	C5H3N2O4	-1.0	BiGG compound	orot	Orotic acid, Uracil-6-carboxylic acid
3hhdcoa	C05258	3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4.0	BiGG compound	3hhdcoa	
2np6mobq	CC0009	2np6mobq	2-nonaprenyl-6-methoxy-1,4-benzoquinone	C52H78O3	0.0	charge based on 2dp6mobq in BIGG		
frdp	C00448	frdp	Farnesyl diphosphate	C15H25O7P2	-3.0	BiGG compound	frdp	trans,trans-Farnesyl diphosphate, Farnesyl pyrophosphate, 2-trans,6-trans-Farnesyl diphosphate, (2E,6E)-Farnesyl diphosphate
5mta	C00170	5mta	5-Methylthioadenosine	C11H15N5O3S	0.0	BiGG compound	5mta	5'-Methylthioadenosine, Methylthioadenosine, S-Methyl-5'-thioadenosine, 5'-Deoxy-5'-(methylthio)adenosine, Thiomethyladenosine, MTA
ddca	C02679	ddca	Dodecanoate (n-C12:0)	C12H23O2	-1.0	BiGG compound	ddca	Dodecanoic acid, Dodecanoate, Dodecylcarboxylate, Lauric acid
5oxpro	C01879	5oxpro	5-Oxoproline	C5H6NO3	-1.0	BiGG compound	5oxpro	Pidolic acid, Pyroglutamic acid, 5-Pyrrolidone-2-carboxylic acid, Pyroglutamate, 5-Oxo-L-proline, L-Pyroglutamic acid, L-5-Pyrrolidone-2-carboxylic acid
air	C03373	air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	-2.0	BiGG compound	air	Aminoimidazole ribotide, AIR, 1-(5'-Phosphoribosyl)-5-aminoimidazole, 5'-Phosphoribosyl-5-aminoimidazole, 1-(5-Phospho-D-ribosyl)-5-aminoimidazole
xol25one	C17332	xol25one	7alpha,25-Dihydroxy-4-cholesten-3-one	C27H44O3	0.0	charge based on similar compounds in BiGG		
td2coa	C05273	td2coa	trans-Tetradec-2-enoyl-CoA	C35H56N7O17P3S	-4.0	BiGG compound	td2coa	(2E)-Tetradecenoyl-CoA
g1m8mpdol	CC0025	g1m8mpdol	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C186H306N2O67P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10598 in KEGG nomenclature	g1m8mpdol_L,g1m8mpdol_U	
2dr1p	C00672	2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2.0	BiGG compound	2dr1p	2-Deoxy-alpha-D-ribose 1-phosphate
argtrna	C02163	argtrna	L-Arginyl-tRNA(Arg)	C6H15N4O2R	2.0	tRNA formula in BiGG was modified for mass balance	argtrna	L-Arginyl-tRNA
pcollg_tri	CC0147	pcollg_tri	Procollagen (trimerized)	X	0.0	charge does not matter		
gdpg	C00394	gdpg	GDP-D-glucose	C16H23N5O16P2	-2.0	charge and formula based on gdpmann; confirmed by MetaCyc		GDP-glucose, GDP-alpha-D-glucose
ile-L	C00407	ile-L	L-Isoleucine	C6H13NO2	0.0	BiGG compound	ile-L	2-Amino-3-methylvaleric acid
sprm	C00750	sprm	Spermine	C10H30N4	4.0	BiGG compound	sprm	N,N'-Bis(3-aminopropyl)-1,4-butanediamine
l2fn2m2masn	CC0037	l2fn2m2masn	{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine	C72.0H120.0N6.0O52.0	-0.0	designated as G00017 in KEGG nomenclature	l2fn2m2masn	
abt	C00532	abt	L-Arabinitol	C5H12O5	0.0	BiGG compound	abt	L-Arabitol, L-Arabinol, L-Lyxitol
fnm2masn	CC0041	fnm2masn	MGnFuc	C52.0H87.0N5.0O37.0	-0.0	named according to PMID: 12603202; designated as G10770 in KEGG nomenclature 		
psd5p	C01168	psd5p	Pseudouridine 5'-phosphate	C9H11N2O9P	-2.0	BiGG compound	psd5p	
thrtrna	C02992	thrtrna	L-Threonyl-tRNA(Thr)	C4H9NO3R	1.0	tRNA formula in BiGG was modified for mass balance	thrtrna	
fa15p0isocrn	CC0113	fa15p0isocrn	Fatty acyl (C15:iso) carnitine	C22H43NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer		
akgp	C03968	akgp	1-Alkyl-sn-glycerol 3-phosphate	C21.0H43.0O6.0P1.0	-2.0	charge based on human version in BiGG	akgp_hs	1-Alkyl-sn-glycero-3-phosphate, 1-O-Alkyl-sn-glycerol 3-phosphate
trnaasn	C01637	trnaasn	tRNA(Asn)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaasn	
dgtp	C00286	dgtp	dGTP	C10H12N5O13P3	-4.0	BiGG compound	dgtp	2'-Deoxyguanosine 5'-triphosphate, Deoxyguanosine 5'-triphosphate, Deoxyguanosine triphosphate
trnaasp	C01638	trnaasp	tRNA(Asp)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaasp	
eumelanin	C17937	eumelanin	Eumelanin	C8H3NO3	0.0	charge and formula based on reaction with ind56qn, balanced as in SEED		
fa8p1n3coa	CC0091	fa8p1n3coa	Intermediary fatty acid C8:1	C29H44N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
dmpp	C00235	dmpp	Dimethylallyl diphosphate	C5H9O7P2	-3.0	BiGG compound	dmpp	2-Isopentenyl diphosphate, delta2-Isopentenyl diphosphate, Dimethylallyl pyrophosphate, DMAPP, Monoprenyl diphosphate, Prenyl diphosphate
alkenac2gpe	C04756	alkenac2gpe	1-alkenyl 2-acylglycerol 3-phosphoethanolamine plasmalogen	C41.5654H78.5778N1.0O7.0P1.0	-0.0	second R is from alcohol	dak2gpe_hs	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine, Phosphatidalethanolamine, Plasmenylethanolamine, Ethanolamineplasmalogen, 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine, 1-Alkenyl-2-acylglycerophosphoethanolamine
etfrd	C04570	etfrd	Electron transfer flavoprotein reduced	RH2	0.0	BiGG compound	etfrd	Reduced electron-transferring flavoprotein, Reduced electron-transfer flavoprotein
lnlccrn	CC0102	lnlccrn	Linoleyl carnitine	C25H45NO4	0.0	charge and formula based on other acyl carnitines	lnlccrn	
athr-L	C05519	athr-L	L-Allo-threonine	C4H9NO3	0.0	BiGG compound	athr-L	L-Allothreonine
fpram	C04640	fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H15N3O8P	-1.0	BiGG compound	fpram	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine, 1-(5'-Phosphoribosyl)-N-formylglycinamidine, 5'-Phosphoribosyl-N-formylglycinamidine, 5'-Phosphoribosylformylglycinamidine
Asn-X-Ser/Thr	C03021	Asn-X-Ser/Thr	protein-linked asparagine residue (N-glycosylation site)	C4.0H8.0N2.0O3.0	-0.0	BiGG compound	Asn-X-Ser/Thr	Protein asparagine, Protein L-asparagine
ctp	C00063	ctp	CTP	C9H12N3O14P3	-4.0	BiGG compound	ctp	Cytidine 5'-triphosphate, Cytidine triphosphate
xoltri27	C06341	xoltri27	"7-alpha,27-Dihydroxycholesterol"	C27H46O3	0.0	BiGG compound	xoltri27	7alpha,27-Dihydroxycholesterol, Cholest-5-ene-3beta,7alpha,26-triol, Cholest-5-ene-3beta,7alpha,27-triol
forssman_ce	CC0217	forssman_ce	Forssman hapten	C71.5654H125.5778N3.0O28.0	-0.0	charge based on similar glycans		
m6mpdol	CC0022	m6mpdol	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C168H276N2O52P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10596 in KEGG nomenclature	m8mpdol_L,m8mpdol_U	
tropcollgtyrX	CC0150	tropcollgtyrX	Tropocollagen L-tyrosine (cross-linked)	X	0.0	charge does not matter		
stcoa	C00412	stcoa	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	-4.0	BiGG compound	stcoa	Stearoyl-CoA, Stearyl-CoA, Stearyl coenzyme A
2mop	C06002	2mop	2-Methyl-3-oxopropanoate	C4H5O3	-1.0	BiGG compound	2mop	(S)-Methylmalonate semialdehyde
dcdp	C00705	dcdp	dCDP	C9H12N3O10P2	-3.0	BiGG compound	dcdp	2'-Deoxycytidine diphosphate, 2'-Deoxycytidine 5'-diphosphate
glx	C00048	glx	Glyoxylate	C2H1O3	-1.0	BiGG compound	glx	Glyoxalate, Glyoxylic acid
3aib-D	C01205	3aib-D	D-3-Amino-isobutanoate	C4H9NO2	0.0	BiGG compound	3aib-D	(R)-3-Amino-2-methylpropanoate
trnaser	C01650	trnaser	tRNA(Ser)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaser	
akg	C00026	akg	2-Oxoglutarate	C5H4O5	-2.0	BiGG compound	akg	Oxoglutaric acid, 2-Ketoglutaric acid, alpha-Ketoglutaric acid
fa9p0isocoa	CC0096	fa9p0isocoa	Fatty acyl (C9:iso) coa	C30H48N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
dttp	C00459	dttp	dTTP	C10H13N2O14P3	-4.0	BiGG compound	dttp	Deoxythymidine triphosphate, Deoxythymidine 5'-triphosphate, TTP
2mbcoa	C15980	2mbcoa	2-Methylbutanoyl-CoA	C26H40N7O17P3S	-4.0	BiGG compound	2mbcoa	(S)-2-Methylbutanoyl-CoA
lystrna	C01931	lystrna	L-Lysine-tRNA (Lys)	C6H15N2O2R	2.0	tRNA formula in BiGG was modified for mass balance	lystrna	L-Lysyl-tRNA, L-Lysyl-tRNA(Lys)
aps	C00224	aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2.0	BiGG compound	aps	Adenylyl sulfate, APS, 5'-Adenylyl sulfate
dcyt	C00881	dcyt	Deoxycytidine	C9H13N3O4	0.0	BiGG compound	dcyt	2'-Deoxycytidine
nmn	C00455	nmn	NMN	C11H14N2O8P	-1.0	BiGG compound	nmn	Nicotinamide D-ribonucleotide, Nicotinamide mononucleotide, Nicotinamide ribonucleotide, Nicotinamide nucleotide, beta-Nicotinamide D-ribonucleotide, beta-Nicotinamide ribonucleotide, beta-Nicotinamide mononucleotide
retinol-cis-11	C00899	retinol-cis-11	cis-11-retinol	C20H30O	0.0	BiGG compound	retinol-cis-11	11-cis-Retinol
mi145p	C01245	mi145p	"1D-myo-Inositol 1,4,5-trisphosphate"	C6H9O15P3	-6.0	BiGG compound	mi145p	D-myo-Inositol 1,4,5-trisphosphate, 1D-myo-Inositol 1,4,5-trisphosphate, Inositol 1,4,5-trisphosphate, Ins(1,4,5)P3
4abut	C00334	4abut	4-Aminobutanoate	C4H9NO2	0.0	BiGG compound	4abut	4-Aminobutanoic acid, 4-Aminobutyrate, 4-Aminobutyric acid, gamma-Aminobutyric acid, GABA
ocdca	C01530	ocdca	octadecanoate (n-C18:0)	C18H35O2	-1.0	BiGG compound	ocdca	Octadecanoic acid, Stearate, Stearic acid
pydx	C00250	pydx	Pyridoxal	C8H9NO3	0.0	BiGG compound	pydx	
methamp	C01210	methamp	N-Methylethanolamine phosphate	C3H9NO4P	-1.0	based on Metacyc		
34dhphe	C00355	34dhphe	"3,4-Dihydroxy-L-phenylalanine"	C9H11NO4	0.0	BiGG compound	34dhphe	3,4-Dihydroxy-L-phenylalanine, L-Dopa, 3-Hydroxy-L-tyrosine, L-beta-(3,4-Dihydroxyphenyl)alanine, Levodopa, Dihydroxy-L-phenylalanine
pydam	C00534	pydam	Pyridoxamine	C8H13N2O2	1.0	BiGG compound	pydam	PM
iletrna	C03127	iletrna	L-Isoleucyl-tRNA(Ile)	C6H13NO2R	1.0	tRNA formula in BiGG was modified for mass balance	iletrna	
dcamp	C03794	dcamp	"N6-(1,2-Dicarboxyethyl)-AMP"	C14H14N5O11P	-4.0	BiGG compound	dcamp	N6-(1,2-Dicarboxyethyl)-AMP, N6-(1,2-Dicarboxyethyl)AMP, Adenylosuccinate, Adenylosuccinic acid
5mthf	C00440	5mthf	5-Methyltetrahydrofolate	C20H24N7O6	-1.0	BiGG compound	5mthf	
Rtotalcoa	C00040	Rtotalcoa	R total Coenzyme A	C39.5654H62.5778N7.0O17.0P3.0S1.0	-4.0	BiGG compound	Rtotalcoa	Acyl-CoA, Acyl coenzyme A
4tmeabutn	C01181	4tmeabutn	4-Trimethylammoniobutanoate	C7H15NO2	0.0	BiGG compound	4tmeabutn	Butyro-betaine, gamma-Butyrobetaine
fa17p0isocoa	CC0095	fa17p0isocoa	Fatty acyl (C17:iso) coa	C38H64N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
acgam6p	C00357	acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2.0	BiGG compound	acgam6p	
cala	C02642	cala	N-Carbamoyl-beta-alanine	C4H7N2O3	-1.0	BiGG compound	cala	3-Ureidopropionate, 3-Ureidopropanoate, beta-Ureidopropionic acid
1pyr5c	C03912	1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1.0	BiGG compound	1pyr5c	(S)-1-Pyrroline-5-carboxylate, L-1-Pyrroline-5-carboxylate
dlnlcgcoa	C03595	dlnlcgcoa	dihomo-gamma-linolenyl coenzyme A	C41H64N7O17P3S	-4.0	BiGG compound	dlnlcgcoa	8,11,14-Eicosatrienoyl-CoA, 8,11,14-Icosatrienoyl-CoA, (8Z,11Z,14Z)-Icosatrienoyl-CoA
vacccoa	CC0068	vacccoa	Vaccenyl coenzyme A	C39H64N7O17P3S	-4.0	BiGG compound	vacccoa	
cdpea	C00570	cdpea	CDPethanolamine	C11H19N4O11P2	-1.0	BiGG compound	cdpea	CDP-ethanolamine, Cytidine diphosphate ethanolamine
m3masn	CC0039	m3masn	M4Gn2	C44.0H74.0N4.0O33.0	-0.0	named according to PMID: 12603202 		
peptido_BAC	CC0054	peptido_BAC	Peptidoglycan subunit of bacteria	C40H62N8O21	-2.0	charge is based on matching BiGG compounds	peptido_EC,peptido_TB2,peptido_TB1	
apohemeprotein	CC0075	apohemeprotein	Apohemeprotein	X	0.0	designed for hypothetical reaction RCC0076		
pepasn	CC0154	pepasn	Peptide L-asparagine	XC4H6N2O2	0.0	formula and charge based on MetaCyc		
serptrna	C16638	serptrna	O-Phosphoseryl-tRNA(Sec)	C3H7NO6PR	0.0	charge based on MetaCyc		
spc_ce	CC0203	spc_ce	sphingosylphosphorylcholine 	C24H52N2O5P	1.0	charge based on human version in BiGG	spc_hs	
fa14p2n6coa	CC0089	fa14p2n6coa	Intermediary fatty acid C14:2	C35H54N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
pepasp	C02871	pepasp	Peptide L-aspartate	XC4H4NO3	-1.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		
ind56qn	C05579	ind56qn	Indole-5,6-quinone	C8H5NO2	0.0	charge based on MetaCyc and 3DMET		
acgal	C01132	acgal	N-Acetyl-D-galactosamine	C8H15NO6	0.0	BiGG compound	acgal	N-Acetyl-D-chondrosamine, 2-Acetamido-2-deoxy-D-galactose
5mdru1p	C04582	5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	C6H11O7PS	-2.0	BiGG compound	5mdru1p	S-Methyl-5-thio-D-ribulose 1-phosphate
man1p	C00636	man1p	D-Mannose 1-phosphate	C6H11O9P	-2.0	BiGG compound	man1p	alpha-D-Mannose 1-phosphate
pcollgpro	C01078	pcollgpro	Procollagen L-proline (to be modified)	XH	0.0	charge does not matter		Procollagen L-proline
pppi	C00536	pppi	Inorganic triphosphate	HO10P3	-4.0	BiGG compound	pppi	Triphosphate, Triphosphoric acid, Tripolyphosphate
