	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
CC0056	lipa_BAC	KDO(2)-lipid (A)	C110H196N2O39P2	-6.0	charge is based on matching BiGG compounds	lipa	
C00256	lac-D	D-Lactate	C3H5O3	-1	BiGG compound	lac-D	(R)-Lactate, D-Lactic acid, D-2-Hydroxypropanoic acid, D-2-Hydroxypropionic acid
C01277	pail4p	1-Phosphatidyl-1D-myo-inositol 4-phosphate 	C9H15O12P2FULLRCO2FULLR2CO2	-3.0	charge based on human version in BiGG	pail4p_hs	1-Phosphatidyl-1D-myo-inositol 4-phosphate, Phosphatidylinositol 4-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4'-phosphate)
CC0062	ddcrn	dodecanoyl carnitine	C19H37NO4	0.0	charge and formula based on other acyl carnitines		
C05981	pail345p	phosphatidylinositol-3,4,5-trisphosphate 	C9H13O18P4FULLRCO2FULLR2CO2	-7.0	charge based on human version in BiGG	pail345p_hs	Phosphatidylinositol-3,4,5-trisphosphate, 1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)
C00620	r1p	alpha-D-Ribose 1-phosphate	C5H9O8P	-2	BiGG compound	r1p	Ribose 1-phosphate, D-Ribose 1-phosphate
CC0105	eicostetcrn	Eicosatetranoyl carnitine	C27H45NO4	0.0	charge and formula based on other acyl carnitines	eicostetcrn	
C00140	acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	BiGG compound	acgam	N-Acetylchitosamine, 2-Acetamido-2-deoxy-D-glucose, GlcNAc
C01639	trnacys	tRNA(Cys)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnacys	
C00152	asn-L	L-Asparagine	C4H8N2O3	0	BiGG compound	asn-L	2-Aminosuccinamic acid
C05269	3ohcoa	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	BiGG compound	3ohcoa	3-Ketohexanoyl-CoA
C04227	octpmn	Octopamine	C8H12NO2	1.0	charge based on Metacyc		1-(4-Hydroxyphenyl)-2-aminoethanol, p-Hydroxyphenylethanolamine
C02949	4hbzcoa	4-hydroxybenoyl-CoA	C28H36N7O18P3S	-4	BiGG compound	4hbzcoa	4-Hydroxybenzoyl-CoA
CC0078	fa17c9	cis-9,10-methylenehexadecanoic acid	C17H31O2	-1.0	charge is obvious based on general rules and similar compounds		
C00051	gthrd	Reduced glutathione	C10H16N3O6S	-1	BiGG compound	gthrd	Glutathione, 5-L-Glutamyl-L-cysteinylglycine, N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine, gamma-L-Glutamyl-L-cysteinyl-glycine, GSH
C00469	etoh	Ethanol	C2H6O	0	BiGG compound	etoh	Ethyl alcohol, Methylcarbinol
C03758	dopa	Dopamine	C8H12NO2	1	BiGG compound	dopa	4-(2-Aminoethyl)-1,2-benzenediol, 4-(2-Aminoethyl)benzene-1,2-diol, 3,4-Dihydroxyphenethylamine, 2-(3,4-Dihydroxyphenyl)ethylamine
C05259	3ohdcoa	3-Oxohexadecanoyl-CoA	C37H60N7O18P3S	-4	BiGG compound	3ohdcoa	3-Oxopalmitoyl-CoA, 3-Ketopalmitoyl-CoA
C04895	ahdt	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"	C9H12N5O13P3	-4	BiGG compound	ahdt	7,8-Dihydroneopterin 3'-triphosphate, 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate, 6-(L-erythro-1,2-Dihydroxypropyl 3-triphosphate)-7,8-dihydropterin, 6-[(1S,2R)-1,2-Dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin
C00086	urea	Urea	CH4N2O	0	BiGG compound	urea	Carbamide
C00342	trdrd	Reduced thioredoxin	XH2	0	BiGG compound	trdrd	Thioredoxin
C00052	udpgal	UDPgalactose	C15H22N2O17P2	-2	BiGG compound	udpgal	UDP-alpha-D-galactose, UDP-D-galactose, UDP-galactose, UDP-D-galactopyranose, UDP-alpha-D-galactopyranose
C04537	chito2pdol	N,N'-Diacetylchitobiosyldiphosphodolichol	C126H206N2O17P2	-2.0	assumed n=18 for the number of isoprene units	chito2pdol_L,chito2pdol_U	Chitobiosyldiphosphodolichol
CC0007	3npdhb_me	3-nonaprenyl-4-hydroxy-5-methoxybenzoate	C53H79O4	-1.0	charge based on 3dpdhb_me in BIGG		
C04317	ak2lgchol	1-Alkyl-2-lyso-sn-glycero-3-phosphocholine	C8H19NO6PRC2H4	0.0	charge based on human version in BiGG	ak2lgchol_hs	1-Organyl-2-lyso-sn-glycero-3-phosphocholine, 1-Radyl-2-lyso-sn-glycero-3-phosphocholine, 1-Alkyl-sn-glycero-3-phosphocholine
C03451	lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	BiGG compound	lgt-S	S-D-Lactoylglutathione
CC0158	rq9h2	Rhodoquinonol-9	C53H83NO3	0.0	charge and formula based on rq9 and qh2		
C01652	trnatrp	tRNA(Trp)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnatrp	
C02050	lnlccoa	linoleic coenzyme A	C39H62N7O17P3S	-4	BiGG compound	lnlccoa	Linoleoyl-CoA, (9Z,12Z)-Octadecadienoyl-CoA
C01326	cyan	Hydrogen cyanide	CHN	0	BiGG compound	cyan	HCN, Cyanide
C05382	s7p	Sedoheptulose 7-phosphate	C7H13O10P	-2	BiGG compound	s7p	D-Sedoheptulose 7-phosphate, D-altro-Heptulose 7-phosphate, altro-Heptulose 7-phosphate
C00016	fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2	BiGG compound	fad	FAD, Flavin adenine dinucleotide
C00067	fald	Formaldehyde	CH2O	0	BiGG compound	fald	Methanal, Oxomethane, Oxomethylene, Methylene oxide, Formalin
C01045	Nforglu	N-Formyl-L-glutamate	C6H9NO5	0	BiGG compound	Nforglu	
C05512	din	Deoxyinosine	C10H12N4O4	0	BiGG compound	din	
CC0104	tmndnccrn	Timnodonyl carnitine	C27H43NO4	0.0	charge and formula based on other acyl carnitines	tmndnccrn	
C00114	chol	Choline	C5H14NO	1	BiGG compound	chol	Bilineurine
CC0077	fa16p1n7	Palmitoleic acid	C16H29O2	-1.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
C01083	tre	Trehalose	C12H22O11	0	BiGG compound	tre	alpha,alpha-Trehalose, alpha,alpha'-Trehalose
C04751	5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P	-3	BiGG compound	5aizc	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole, 5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate, 1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole, 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole
CC0117	prot_mito	Mitochondrial protein	X	0.0	for biomass equation; charge does not matter		
C05467	cholcoaone	"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA"	C48H74N7O21P3S	-4	BiGG compound	cholcoaone	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA, 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-CoA
C00399	q	Ubiquinone	C14H18O4	0	BiGG compound	q	Coenzyme Q, CoQ, Q
C00036	oaa	Oxaloacetate	C4H2O5	-2	BiGG compound	oaa	Oxalacetic acid, Oxaloacetic acid, 2-Oxobutanedioic acid, 2-Oxosuccinic acid, keto-Oxaloacetate
C00112	cdp	CDP	C9H12N3O11P2	-3	BiGG compound	cdp	Cytidine 5'-diphosphate, Cytidine diphosphate
C00208	malt	Maltose	C12H22O11	0	BiGG compound	malt	Malt sugar, alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
C00055	cmp	CMP	C9H12N3O8P	-2	BiGG compound	cmp	Cytidine-5'-monophosphate, Cytidylic acid
C00031	glc-D	D-Glucose	C6H12O6	0	BiGG compound	glc-D	Grape sugar, Dextrose, Glucose, D-Glucopyranose
C00894	prpncoa	Propenoyl-CoA	C24H34N7O17P3S	-4	BiGG compound	prpncoa	Acryloyl-CoA, Acrylyl-CoA
C01242	alpro	S-Aminomethyldihydrolipoylprotein	CH6NS2X	1	BiGG compound	alpro	[Protein]-S8-aminomethyldihydrolipoyllysine, H-Protein-S-aminomethyldihydrolipoyllysine
C00295	orot	Orotate	C5H3N2O4	-1	BiGG compound	orot	Orotic acid, Uracil-6-carboxylic acid
C05258	3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	BiGG compound	3hhdcoa	
CC0009	2np6mobq	2-nonaprenyl-6-methoxy-1,4-benzoquinone	C52H78O3	0.0	charge based on 2dp6mobq in BIGG		
C00448	frdp	Farnesyl diphosphate	C15H25O7P2	-3	BiGG compound	frdp	trans,trans-Farnesyl diphosphate, Farnesyl pyrophosphate, 2-trans,6-trans-Farnesyl diphosphate, (2E,6E)-Farnesyl diphosphate
C00170	5mta	5-Methylthioadenosine	C11H15N5O3S	0	BiGG compound	5mta	5'-Methylthioadenosine, Methylthioadenosine, S-Methyl-5'-thioadenosine, 5'-Deoxy-5'-(methylthio)adenosine, Thiomethyladenosine, MTA
C02679	ddca	Dodecanoate (n-C12:0)	C12H23O2	-1	BiGG compound	ddca	Dodecanoic acid, Dodecanoate, Dodecylcarboxylate, Lauric acid
C01879	5oxpro	5-Oxoproline	C5H6NO3	-1	BiGG compound	5oxpro	Pidolic acid, Pyroglutamic acid, 5-Pyrrolidone-2-carboxylic acid, Pyroglutamate, 5-Oxo-L-proline, L-Pyroglutamic acid, L-5-Pyrrolidone-2-carboxylic acid
C03373	air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	-2	BiGG compound	air	Aminoimidazole ribotide, AIR, 1-(5'-Phosphoribosyl)-5-aminoimidazole, 5'-Phosphoribosyl-5-aminoimidazole, 1-(5-Phospho-D-ribosyl)-5-aminoimidazole
C17332	xol25one	7alpha,25-Dihydroxy-4-cholesten-3-one	C27H44O3	0.0	charge based on similar compounds in BiGG		
C05273	td2coa	trans-Tetradec-2-enoyl-CoA	C35H56N7O17P3S	-4	BiGG compound	td2coa	(2E)-Tetradecenoyl-CoA
CC0025	g1m8mpdol	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C186H306N2O67P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10598 in KEGG nomenclature	g1m8mpdol_L,g1m8mpdol_U	
C00672	2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	BiGG compound	2dr1p	2-Deoxy-alpha-D-ribose 1-phosphate
C02163	argtrna	L-Arginyl-tRNA(Arg)	C6H15N4O2R	2.0	tRNA formula in BiGG was modified for mass balance	argtrna	L-Arginyl-tRNA
CC0147	pcollg_tri	Procollagen (trimerized)	X	0.0	charge does not matter		
C00394	gdpg	GDP-D-glucose	C16H23N5O16P2	-2.0	charge and formula based on gdpmann; confirmed by MetaCyc		GDP-glucose, GDP-alpha-D-glucose
C00407	ile-L	L-Isoleucine	C6H13NO2	0	BiGG compound	ile-L	2-Amino-3-methylvaleric acid
C00750	sprm	Spermine	C10H30N4	4	BiGG compound	sprm	N,N'-Bis(3-aminopropyl)-1,4-butanediamine
CC0037	l2fn2m2masn	{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine	C68H113N4O49X	0.0	designated as G00017 in KEGG nomenclature	l2fn2m2masn	
C00532	abt	L-Arabinitol	C5H12O5	0	BiGG compound	abt	L-Arabitol, L-Arabinol, L-Lyxitol
CC0041	fnm2masn	MGnFuc	C48H80N3O34X	0.0	named according to PMID: 12603202; designated as G10770 in KEGG nomenclature 		
C01168	psd5p	Pseudouridine 5'-phosphate	C9H11N2O9P	-2	BiGG compound	psd5p	
C02992	thrtrna	L-Threonyl-tRNA(Thr)	C4H9NO3R	1.0	tRNA formula in BiGG was modified for mass balance	thrtrna	
CC0113	fa15p0isocrn	Fatty acyl (C15:iso) carnitine	C22H43NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer		
C03968	akgp	1-Alkyl-sn-glycerol 3-phosphate	C3H6O6PRC2H4	-2.0	charge based on human version in BiGG	akgp_hs	1-Alkyl-sn-glycero-3-phosphate, 1-O-Alkyl-sn-glycerol 3-phosphate
C01637	trnaasn	tRNA(Asn)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaasn	
C00286	dgtp	dGTP	C10H12N5O13P3	-4	BiGG compound	dgtp	2'-Deoxyguanosine 5'-triphosphate, Deoxyguanosine 5'-triphosphate, Deoxyguanosine triphosphate
C01638	trnaasp	tRNA(Asp)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaasp	
C17937	eumelanin	Eumelanin	C8H3NO3	0.0	charge and formula based on reaction with ind56qn, balanced as in SEED		
CC0091	fa8p1n3coa	Intermediary fatty acid C8:1	C29H44N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
C00235	dmpp	Dimethylallyl diphosphate	C5H9O7P2	-3	BiGG compound	dmpp	2-Isopentenyl diphosphate, delta2-Isopentenyl diphosphate, Dimethylallyl pyrophosphate, DMAPP, Monoprenyl diphosphate, Prenyl diphosphate
C04756	alkenac2gpe	1-alkenyl 2-acylglycerol 3-phosphoethanolamine plasmalogen	C6H12NO7PRRC2H2	0.0	second R is from alcohol	dak2gpe_hs	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine, Phosphatidalethanolamine, Plasmenylethanolamine, Ethanolamineplasmalogen, 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine, 1-Alkenyl-2-acylglycerophosphoethanolamine
C04570	etfrd	Electron transfer flavoprotein reduced	RH2	0	BiGG compound	etfrd	Reduced electron-transferring flavoprotein, Reduced electron-transfer flavoprotein
CC0102	lnlccrn	Linoleyl carnitine	C25H45NO4	0.0	charge and formula based on other acyl carnitines	lnlccrn	
C05519	athr-L	L-Allo-threonine	C4H9NO3	0	BiGG compound	athr-L	L-Allothreonine
C04640	fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H15N3O8P	-1	BiGG compound	fpram	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine, 1-(5'-Phosphoribosyl)-N-formylglycinamidine, 5'-Phosphoribosyl-N-formylglycinamidine, 5'-Phosphoribosylformylglycinamidine
C03021	Asn-X-Ser/Thr	protein-linked asparagine residue (N-glycosylation site)	XH	0	BiGG compound	Asn-X-Ser/Thr	Protein asparagine, Protein L-asparagine
C00063	ctp	CTP	C9H12N3O14P3	-4	BiGG compound	ctp	Cytidine 5'-triphosphate, Cytidine triphosphate
C06341	xoltri27	"7-alpha,27-Dihydroxycholesterol"	C27H46O3	0	BiGG compound	xoltri27	7alpha,27-Dihydroxycholesterol, Cholest-5-ene-3beta,7alpha,26-triol, Cholest-5-ene-3beta,7alpha,27-triol
CC0217	forssman_ce	Forssman hapten	C54H94N3O28R	0.0	charge based on similar glycans		
CC0022	m6mpdol	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C168H276N2O52P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10596 in KEGG nomenclature	m8mpdol_L,m8mpdol_U	
CC0150	tropcollgtyrX	Tropocollagen L-tyrosine (cross-linked)	X	0.0	charge does not matter		
C00412	stcoa	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	-4	BiGG compound	stcoa	Stearoyl-CoA, Stearyl-CoA, Stearyl coenzyme A
C06002	2mop	2-Methyl-3-oxopropanoate	C4H5O3	-1	BiGG compound	2mop	(S)-Methylmalonate semialdehyde
C00705	dcdp	dCDP	C9H12N3O10P2	-3	BiGG compound	dcdp	2'-Deoxycytidine diphosphate, 2'-Deoxycytidine 5'-diphosphate
C00048	glx	Glyoxylate	C2H1O3	-1	BiGG compound	glx	Glyoxalate, Glyoxylic acid
C01205	3aib-D	D-3-Amino-isobutanoate	C4H9NO2	0	BiGG compound	3aib-D	(R)-3-Amino-2-methylpropanoate
C01650	trnaser	tRNA(Ser)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaser	
C00026	akg	2-Oxoglutarate	C5H4O5	-2	BiGG compound	akg	Oxoglutaric acid, 2-Ketoglutaric acid, alpha-Ketoglutaric acid
CC0096	fa9p0isocoa	Fatty acyl (C9:iso) coa	C30H48N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
C00459	dttp	dTTP	C10H13N2O14P3	-4	BiGG compound	dttp	Deoxythymidine triphosphate, Deoxythymidine 5'-triphosphate, TTP
C15980	2mbcoa	2-Methylbutanoyl-CoA	C26H40N7O17P3S	-4	BiGG compound	2mbcoa	(S)-2-Methylbutanoyl-CoA
C01931	lystrna	L-Lysine-tRNA (Lys)	C6H15N2O2R	2.0	tRNA formula in BiGG was modified for mass balance	lystrna	L-Lysyl-tRNA, L-Lysyl-tRNA(Lys)
C00224	aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	BiGG compound	aps	Adenylyl sulfate, APS, 5'-Adenylyl sulfate
C00881	dcyt	Deoxycytidine	C9H13N3O4	0	BiGG compound	dcyt	2'-Deoxycytidine
C00455	nmn	NMN	C11H14N2O8P	-1	BiGG compound	nmn	Nicotinamide D-ribonucleotide, Nicotinamide mononucleotide, Nicotinamide ribonucleotide, Nicotinamide nucleotide, beta-Nicotinamide D-ribonucleotide, beta-Nicotinamide ribonucleotide, beta-Nicotinamide mononucleotide
C00899	retinol-cis-11	cis-11-retinol	C20H30O	0	BiGG compound	retinol-cis-11	11-cis-Retinol
C01245	mi145p	"1D-myo-Inositol 1,4,5-trisphosphate"	C6H9O15P3	-6	BiGG compound	mi145p	D-myo-Inositol 1,4,5-trisphosphate, 1D-myo-Inositol 1,4,5-trisphosphate, Inositol 1,4,5-trisphosphate, Ins(1,4,5)P3
C00334	4abut	4-Aminobutanoate	C4H9NO2	0	BiGG compound	4abut	4-Aminobutanoic acid, 4-Aminobutyrate, 4-Aminobutyric acid, gamma-Aminobutyric acid, GABA
C01530	ocdca	octadecanoate (n-C18:0)	C18H35O2	-1	BiGG compound	ocdca	Octadecanoic acid, Stearate, Stearic acid
C00250	pydx	Pyridoxal	C8H9NO3	0	BiGG compound	pydx	
C01210	methamp	N-Methylethanolamine phosphate	C3H9NO4P	-1.0	based on Metacyc		
C00355	34dhphe	"3,4-Dihydroxy-L-phenylalanine"	C9H11NO4	0	BiGG compound	34dhphe	3,4-Dihydroxy-L-phenylalanine, L-Dopa, 3-Hydroxy-L-tyrosine, L-beta-(3,4-Dihydroxyphenyl)alanine, Levodopa, Dihydroxy-L-phenylalanine
C03127	iletrna	L-Isoleucyl-tRNA(Ile)	C6H13NO2R	1.0	tRNA formula in BiGG was modified for mass balance	iletrna	
C03794	dcamp	"N6-(1,2-Dicarboxyethyl)-AMP"	C14H14N5O11P	-4	BiGG compound	dcamp	N6-(1,2-Dicarboxyethyl)-AMP, N6-(1,2-Dicarboxyethyl)AMP, Adenylosuccinate, Adenylosuccinic acid
C00440	5mthf	5-Methyltetrahydrofolate	C20H24N7O6	-1	BiGG compound	5mthf	
C00040	Rtotalcoa	R total Coenzyme A	CO2FULLRC21H31N7O15P3S	-4	BiGG compound	Rtotalcoa	Acyl-CoA, Acyl coenzyme A
C01181	4tmeabutn	4-Trimethylammoniobutanoate	C7H15NO2	0	BiGG compound	4tmeabutn	Butyro-betaine, gamma-Butyrobetaine
CC0095	fa17p0isocoa	Fatty acyl (C17:iso) coa	C38H64N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
C00357	acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	BiGG compound	acgam6p	
C02642	cala	N-Carbamoyl-beta-alanine	C4H7N2O3	-1	BiGG compound	cala	3-Ureidopropionate, 3-Ureidopropanoate, beta-Ureidopropionic acid
C03912	1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	BiGG compound	1pyr5c	(S)-1-Pyrroline-5-carboxylate, L-1-Pyrroline-5-carboxylate
C03595	dlnlcgcoa	dihomo-gamma-linolenyl coenzyme A	C41H64N7O17P3S	-4	BiGG compound	dlnlcgcoa	8,11,14-Eicosatrienoyl-CoA, 8,11,14-Icosatrienoyl-CoA, (8Z,11Z,14Z)-Icosatrienoyl-CoA
CC0068	vacccoa	Vaccenyl coenzyme A	C39H64N7O17P3S	-4.0	BiGG compound	vacccoa	
C00570	cdpea	CDPethanolamine	C11H19N4O11P2	-1	BiGG compound	cdpea	CDP-ethanolamine, Cytidine diphosphate ethanolamine
CC0039	m3masn	M4Gn2	C40H67N2O30X	0.0	named according to PMID: 12603202 		
CC0054	peptido_BAC	Peptidoglycan subunit of bacteria	C40H62N8O21	-2.0	charge is based on matching BiGG compounds	peptido_EC,peptido_TB2,peptido_TB1	
CC0075	apohemeprotein	Apohemeprotein	X	0.0	designed for hypothetical reaction RCC0076		
CC0154	pepasn	Peptide L-asparagine	XC4H6N2O2	0.0	formula and charge based on MetaCyc		
C16638	serptrna	O-Phosphoseryl-tRNA(Sec)	C3H7NO6PR	0.0	charge based on MetaCyc		
CC0203	spc_ce	sphingosylphosphorylcholine 	C24H52N2O5P	1.0	charge based on human version in BiGG	spc_hs	
CC0089	fa14p2n6coa	Intermediary fatty acid C14:2	C35H54N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
C02871	pepasp	Peptide L-aspartate	XC4H4NO3	-1.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		
C05579	ind56qn	Indole-5,6-quinone	C8H5NO2	0.0	charge based on MetaCyc and 3DMET		
C01132	acgal	N-Acetyl-D-galactosamine	C8H15NO6	0	BiGG compound	acgal	N-Acetyl-D-chondrosamine, 2-Acetamido-2-deoxy-D-galactose
C04582	5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	C6H11O7PS	-2	BiGG compound	5mdru1p	S-Methyl-5-thio-D-ribulose 1-phosphate
C00636	man1p	D-Mannose 1-phosphate	C6H11O9P	-2	BiGG compound	man1p	alpha-D-Mannose 1-phosphate
C01078	pcollgpro	Procollagen L-proline (to be modified)	XH	0.0	charge does not matter		Procollagen L-proline
C00536	pppi	Inorganic triphosphate	HO10P3	-4	BiGG compound	pppi	Triphosphate, Triphosphoric acid, Tripolyphosphate
C02165	leuktrB4	Leukotriene B4	C20H31O4	-1	BiGG compound	leuktrB4	(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate, (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate, LTB4
C02985	fuc1p-L	L-Fucose 1-phosphate	C6H11O8P	-2.0	BiGG compound		6-Deoxy-L-galactose 1-phosphate, beta-L-Fucose 1-phosphate
C00047	lys-L	L-Lysine	C6H15N2O2	1	BiGG compound	lys-L	Lysine acid, 2,6-Diaminohexanoic acid
C01640	trnagln	tRNA(Gln)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnagln	
C00245	taur	Taurine	C2H7NO3S	0	BiGG compound	taur	2-Aminoethanesulfonic acid, Aminoethylsulfonic acid
C00877	b2coa	Crotonoyl-CoA	C25H36N7O17P3S	-4	BiGG compound	b2coa	Crotonyl-CoA, 2-Butenoyl-CoA, trans-But-2-enoyl-CoA, But-2-enoyl-CoA, (E)-But-2-enoyl-CoA
C14818	fe2	Fe2+	Fe	2.0	BiGG compound	fe2	Fe(II), Ferrous ion, Iron(2+)
C14819	fe3	Fe3+	Fe	3	BiGG compound	fe3	Fe(III), Ferric ion, Iron(3+)
C01641	trnaglu	tRNA (Glu)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaglu	tRNA(Glu)
C01642	trnagly	tRNA(Gly)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnagly	
C03479	5fthf	5-Formyltetrahydrofolate	C20H21N7O7	-2	BiGG compound	5fthf	Folinic acid, Leucovorin, L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid
CC0103	dlnlcgcrn	dihomo-gamma-linolenyl carnitine	C27H47NO4	0.0	charge and formula based on other acyl carnitines	dlnlcgcrn	
C00141	3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	BiGG compound	3mob	3-Methyl-2-oxobutanoic acid, 3-Methyl-2-oxobutyric acid, 2-Oxo-3-methylbutanoate, 2-Oxoisovalerate, 2-Oxoisopentanoate, alpha-Ketovaline, 2-Ketovaline, 2-Keto-3-methylbutyric acid
C01996	ach	Acetylcholine	C7H16NO2	1	BiGG compound	ach	O-Acetylcholine
C05686	adsel	Adenylylselenate	C10H12N5O10PSe	-2	BiGG compound	adsel	Adenosine-5'-phosphoselenate
C01246	dolglcp	Dolichyl beta-D-glucosyl phosphate	C116H190O9P	-1.0	assumed n=18 for the number of isoprene units	dolglcp_L,dolglcp_U	
C00704	o2s	Superoxide anion	O2	-1	BiGG compound	o2s	O2.-, O2-
