	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY
RC00431	r	RC00431	R00431	4.1.1.32	[c] : gtp + oaa <==> gdp + pep + co2	C00044 + C00036 <==> C00035 + C00074 + C00011	pck-1 | pck-2 | pck-3	Glycolysis / Gluconeogenesis
RC00200	r	RC00200	R00200	2.7.1.40	[c] : adp + pep + h --> atp + pyr	C00008 + C00074 + C00080 --> C00002 + C00022	pyk-1 | pyk-2	Glycolysis / Gluconeogenesis
RM00209	r	RM00209	R00209	1.2.4.1;1.8.1.4;2.3.1.12	[m] : pyr + coa + nad --> accoa + co2 + nadh	M00022 + M00010 + M00003 --> M00024 + M00011 + M00004	(pdha-1 & pdhb-1) & (dlat-2 | dlat-1) & dld-1	Glycolysis / Gluconeogenesis
RC00703	r	RC00703	R00703	1.1.1.27	[c] : lac-L + nad <==> pyr + nadh + h	C00186 + C00003 <==> C00022 + C00004 + C00080	ldh-1	Glycolysis / Gluconeogenesis
RC00711	r	RC00711	R00711	1.2.1.5	[c] : acald + nadp + h2o --> ac + nadph + (2) h	C00084 + C00006 + C00001 --> C00033 + C00005 + (2) C00080	alh-5	Glycolysis / Gluconeogenesis
RC00710	r	RC00710	R00710	1.2.1.3	[c] : acald + nad + h2o --> ac + nadh + (2) h	C00084 + C00003 + C00001 --> C00033 + C00004 + (2) C00080	(alh-2 | alh-4) | alh-12	Glycolysis / Gluconeogenesis
RM00710	r	RM00710	R00710	1.2.1.3	[m] : acald + nad + h2o --> ac + nadh + (2) h	M00084 + M00003 + M00001 --> M00033 + M00004 + (2) M00080	(alh-1 | alh-2 | alh-4) | alh-9	Glycolysis / Gluconeogenesis
RC00754	r	RC00754	R00754	1.1.1.1	[c] : etoh + nad <==> acald + nadh + h	C00469 + C00003 <==> C00084 + C00004 + C00080	H24K24.3 | (D2063.1 | sodh-1 | sodh-2)	Glycolysis / Gluconeogenesis
RC00235	r	RC00235	R00235	6.2.1.1	[c] : atp + ac + coa --> amp + ppi + accoa	C00002 + C00033 + C00010 --> C00020 + C00013 + C00024	acs-19	Glycolysis / Gluconeogenesis
RM00344	r	RM00344	R00344	6.4.1.1	[m] : atp + pyr + hco3 --> adp + pi + oaa + h	M00002 + M00022 + M00288 --> M00008 + M00009 + M00036 + M00080	pyc-1	Citrate cycle (TCA cycle)
RM00351	r	RM00351	R00351	2.3.3.1	[m] : accoa + h2o + oaa --> cit + coa + h	M00024 + M00001 + M00036 --> M00158 + M00010 + M00080	cts-1	Citrate cycle (TCA cycle)
RC00352	r	RC00352	R00352	2.3.3.8	[c] : atp + cit + coa --> adp + pi + accoa + oaa	C00002 + C00158 + C00010 --> C00008 + C00009 + C00024 + C00036	acly-2 | acly-1	Citrate cycle (TCA cycle)
RCC0001	r	RCC0001	R01325;R01900	4.2.1.3	[c] : cit <==> icit	C00158 <==> C00311	aco-1	Citrate cycle (TCA cycle)
RMC0001	r	RMC0001	R01325;R01900	4.2.1.3	[m] : cit <==> icit	M00158 <==> M00311	aco-2	Citrate cycle (TCA cycle)
RC00267	r	RC00267	R00267	1.1.1.42	[c] : icit + nadp --> akg + co2 + nadph	C00311 + C00006 --> C00026 + C00011 + C00005	idh-1	Citrate cycle (TCA cycle)
RM00267	r	RM00267	R00267	1.1.1.42	[m] : icit + nadp --> akg + co2 + nadph	M00311 + M00006 --> M00026 + M00011 + M00005	idh-1 | idh-2	Citrate cycle (TCA cycle)
RM00709	r	RM00709	R00709	1.1.1.41	[m] : icit + nad --> akg + co2 + nadh	M00311 + M00003 --> M00026 + M00011 + M00004	idha-1 & idhb-1 & (idhg-1 | idhg-2)	Citrate cycle (TCA cycle)
RMC0003	r	RMC0003	R00621;R03316;R02570;R07618	1.2.4.2;2.3.1.61;1.8.1.4	[m] : akg + coa + nad --> co2 + nadh + succoa	M00026 + M00010 + M00003 --> M00011 + M00004 + M00091	(ogdh-1 & ogdh-2) & dlst-1 & dld-1	Citrate cycle (TCA cycle)
RM00432	r	RM00432	R00432	6.2.1.4	[m] : gtp + succ + coa <==> gdp + pi + succoa	M00044 + M00042 + M00010 <==> M00035 + M00009 + M00091	(sucl-1 | sucl-2) & sucg-1	Citrate cycle (TCA cycle)
RM00405	r	RM00405	R00405	6.2.1.5	[m] : atp + succ + coa <==> adp + pi + succoa	M00002 + M00042 + M00010 <==> M00008 + M00009 + M00091	(sucl-1 | sucl-2) & suca-1	Citrate cycle (TCA cycle)
RM02164	r	RM02164	R02164	1.3.5.1	[m] : q + succ --> qh2 + fum	M00399 + M00042 --> M00390 + M00122	[(sdha-1 | sdha-2) & sdhb-1] & mev-1 & sdhd-1	Citrate cycle (TCA cycle)
RM01082	r	RM01082	R01082	4.2.1.2	[m] : mal-L <==> fum + h2o	M00149 <==> M00122 + M00001	fum-1	Citrate cycle (TCA cycle)
RM00342	r	RM00342	R00342	1.1.1.37	[m] : mal-L + nad <==> oaa + nadh + h	M00149 + M00003 <==> M00036 + M00004 + M00080	mdh-1 | mdh-2	Citrate cycle (TCA cycle)
RC02736	r	RC02736	R02736	1.1.1.49	[c] : g6p-B + nadp <==> 6pgl + nadph + h	C01172 + C00006 <==> C01236 + C00005 + C00080	gspd-1	Pentose phosphate pathway
RC02035	r	RC02035	R02035	3.1.1.31	[c] : 6pgl + h2o --> 6pgc + h	C01236 + C00001 --> C00345 + C00080	Y57G11C.3	Pentose phosphate pathway
RC01737	r	RC01737	R01737	2.7.1.12	[c] : atp + glcn --> adp + 6pgc + h	C00002 + C00257 --> C00008 + C00345 + C00080	F26D11.1	Pentose phosphate pathway
RC01528	r	RC01528	R01528	1.1.1.44	[c] : 6pgc + nadp --> ru5p-D + co2 + nadph	C00345 + C00006 --> C00199 + C00011 + C00005	T25B9.9	Pentose phosphate pathway
RC01529	r	RC01529	R01529	5.1.3.1	[c] : ru5p-D <==> xu5p-D	C00199 <==> C00231	F08F8.7	Pentose phosphate pathway
RC01056	r	RC01056	R01056	5.3.1.6	[c] : r5p <==> ru5p-D	C00117 <==> C00199	rpia-1	Pentose phosphate pathway
RC01049	r	RC01049	R01049	2.7.6.1	[c] : atp + r5p <==> amp + prpp + h	C00002 + C00117 <==> C00020 + C00119 + C00080	R151.2	Pentose phosphate pathway
RC01051	r	RC01051	R01051	2.7.1.15	[c] : atp + rib-D --> adp + r5p + h	C00002 + C00121 --> C00008 + C00117 + C00080	F07A11.5	Pentose phosphate pathway
RC01641	r	RC01641	R01641	2.2.1.1	[c] : s7p + g3p <==> r5p + xu5p-D	C05382 + C00118 <==> C00117 + C00231	tkt-1	Pentose phosphate pathway
RC01830	r	RC01830	R01830	2.2.1.1	[c] : f6p + g3p <==> e4p + xu5p-D	C00085 + C00118 <==> C00279 + C00231	tkt-1	Pentose phosphate pathway
RC01827	r	RC01827	R01827	2.2.1.2	[c] : s7p + g3p <==> e4p + f6p	C05382 + C00118 <==> C00279 + C00085	tald-1	Pentose phosphate pathway
RC02750	r	RC02750	R02750	2.7.1.15	[c] : atp + drib --> 2dr5p + adp + h	C00002 + C01801 --> C00673 + C00008 + C00080	F07A11.5	Pentose phosphate pathway
RC01066	r	RC01066	R01066	4.1.2.4	[c] : 2dr5p <==> g3p + acald	C00673 <==> C00118 + C00084	F09E5.3	Pentose phosphate pathway
RC01057	r	RC01057	R01057	5.4.2.2;5.4.2.7	[c] : r1p <==> r5p	C00620 <==> C00117	R05F9.6 | Y43F4B.5	Pentose phosphate pathway
RC02531	r	RC02531	R02531	1.1.1.21	[c] : lald-D + nad <==> mthgxl + nadh + h	C05999 + C00003 <==> C00546 + C00004 + C00080	Y39G8B.1	Pyruvate metabolism
RC02577	r	RC02577	R02577	1.1.1.21	[c] : 12ppd-R + nadp <==> lald-D + nadph + h	C00583 + C00006 <==> C05999 + C00005 + C00080	Y39G8B.1	Glycerolipid metabolism
RM01736	r	RM01736	R01736	3.1.2.6	[m] : lgt-S + h2o --> gthrd + lac-D + h	M03451 + M00001 --> M00051 + M00256 + M00080	Y17G7B.3	Pyruvate metabolism
RM00197	r	RM00197	R00197	1.1.2.4	[m] : lac-D + (2) ficytC --> pyr + (2) focytC + (2) h	M00256 + (2) M00125 --> M00022 + (2) M00126 + (2) M00080	F32D8.12 & (cyc-2.1 | cyc-2.2)	Pyruvate metabolism
RC00199	r	RC00199	R00199	2.7.9.2	[c] : atp + pyr + h2o --> amp + pep + pi + (2) h	C00002 + C00022 + C00001 --> C00020 + C00074 + C00009 + (2) C00080	T21C9.6	Pyruvate metabolism
RM00216	r	RM00216	R00216	1.1.1.40	[m] : mal-L + nadp --> pyr + co2 + nadph	M00149 + M00006 --> M00022 + M00011 + M00005	men-1	Pyruvate metabolism
RM00238	r	RM00238	R00238	2.3.1.9	[m] : (2) accoa <==> coa + aacoa	(2) M00024 <==> M00010 + M00332	T02G5.7 | kat-1	Fatty acid metabolism
RMC0006	r	RMC0006	R02163	1.6.5.3;1.6.99.3	q[m] + nadh[m] + (5) h[m] --> qh2[m] + nad[m] + (4) h[c]	M00399 + M00004 + (5) M00080 --> M00390 + M00003 + (4) C00080	(nduo-1 & nduo-2 & nduo-3 & nduo-4 & nduo-5 & nduo-6 & ndfl-4) & [F53F4.10 & (gas-1 | nduf-2.2) & nuo-2 & nuo-1 & nuo-5 & nduf-7 & T20H4.5 & lpd-5 & nduf-5 & nduf-6] & [F31D4.9 & Y63D3A.7 & C33A12.1 & nuo-3 & F45H10.3 & Y54F10AM.5 & Y53G8AL.2 & nuo-4 & (F37C12.3 | Y56A3A.19) & C34B2.8] & (F44G4.2 & C18E9.4 & nuo-6 & C25H3.9 & ZK809.3 & D2030.4 & Y51H1A.3 & C16A3.5 & F59C6.5 & Y71H2AM.4 & F42G8.10)	Oxidative phosphorylation
RC02364	r	RC02364	R02364	1.6.5.5	[c] : h + nadph + q --> nadp + qh2	C00080 + C00005 + C00399 --> C00006 + C00390	F39B2.3	Miscellaneous
RM02161	r	RM02161	R02161	1.10.2.2	(2) ficytC[m] + (2) h[m] + qh2[m] <==> (2) focytC[m] + (4) h[c] + q[m]	(2) M00125 + (2) M00080 + M00390 <==> (2) M00126 + (4) C00080 + M00399	isp-1 & ctb-1 & cyc-1 & (ucr-2.3 | ucr-2.1 | ucr-2.2) & T27E9.2 & T02H6.11 & (F45H10.2 | R07E4.3) & ucr-11 & (cyc-2.1 | cyc-2.2)	Oxidative phosphorylation
RM00081	r	RM00081	R00081	1.9.3.1	(4) focytC[m] + (8) h[m] + o2[m] --> (4) ficytC[m] + (4) h[c] + (2) h2o[m]	(4) M00126 + (8) M00080 + M00007 --> (4) M00125 + (4) C00080 + (2) M00001	(ctc-1 & ctc-2 & ctc-3) & cco-1 & cco-2 & tag-174 & Y71H2AM.5 & F29C4.2 & F26E4.6 & W09C5.8 & (cyc-2.1 | cyc-2.2)	Oxidative phosphorylation
RC00004	r	RC00004	R00004	3.6.1.1	[c] : ppi + h2o --> (2) pi + h	C00013 + C00001 --> (2) C00009 + C00080	C13C4.4 | pyp-1	Miscellaneous
RM00004	r	RM00004	R00004	3.6.1.1	[m] : ppi + h2o --> (2) pi + h	M00013 + M00001 --> (2) M00009 + M00080	pyp-1	Miscellaneous
RMC0004	r	RMC0004	R00086	3.6.3.14	adp[m] + (4) h[c] + pi[m] --> atp[m] + (3) h[m] + h2o[m]	M00008 + (4) C00080 + M00009 --> M00002 + (3) M00080 + M00001	(H28O16.1 | T26E3.7) & atp-2 & Y69A2AR.18 & F58F12.1 & (hpo-18 | R05D3.6 | ZC262.5) & atp-3 & atp-6 & (asb-2 | asb-1) & Y82E9BR.3 & atp-5 & R04F11.2 & R53.4 & (asg-2 | asg-1)	Oxidative phosphorylation
RMC0005	r	RMC0005	R00086	3.6.3.14	adp[m] + (3) h[c] + pi[m] --> atp[m] + (2) h[m] + h2o[m]	M00008 + (3) C00080 + M00009 --> M00002 + (2) M00080 + M00001	(H28O16.1 | T26E3.7) & atp-2 & Y69A2AR.18 & F58F12.1 & (hpo-18 | R05D3.6 | ZC262.5) & atp-3 & atp-6 & (asb-2 | asb-1) & Y82E9BR.3 & atp-5 & R04F11.2 & R53.4 & (asg-2 | asg-1)	Oxidative phosphorylation
RMC0007	r	RMC0007	R02163	1.6.5.3;1.6.99.3	q[m] + nadh[m] + h[c] --> qh2[m] + nad[m]	M00399 + M00004 + C00080 --> M00390 + M00003	(nduo-1 & nduo-2 & nduo-3 & nduo-4 & nduo-5 & nduo-6 & ndfl-4) & [F53F4.10 & (gas-1 | nduf-2.2) & nuo-2 & nuo-1 & nuo-5 & nduf-7 & T20H4.5 & lpd-5 & nduf-5 & nduf-6] & [F31D4.9 & Y63D3A.7 & C33A12.1 & nuo-3 & F45H10.3 & Y54F10AM.5 & Y53G8AL.2 & nuo-4 & (F37C12.3 | Y56A3A.19) & C34B2.8] & (F44G4.2 & C18E9.4 & nuo-6 & C25H3.9 & ZK809.3 & D2030.4 & Y51H1A.3 & C16A3.5 & F59C6.5 & Y71H2AM.4 & F42G8.10)	Oxidative phosphorylation
RMC0008	r	RMC0008	R02163	1.6.5.3;1.6.99.3	[m]: q + nadh + h --> qh2 + nad	M00399 + M00004 + M00080 --> M00390 + M00003	(nduo-1 & nduo-2 & nduo-3 & nduo-4 & nduo-5 & nduo-6 & ndfl-4) & [F53F4.10 & (gas-1 | nduf-2.2) & nuo-2 & nuo-1 & nuo-5 & nduf-7 & T20H4.5 & lpd-5 & nduf-5 & nduf-6] & [F31D4.9 & Y63D3A.7 & C33A12.1 & nuo-3 & F45H10.3 & Y54F10AM.5 & Y53G8AL.2 & nuo-4 & (F37C12.3 | Y56A3A.19) & C34B2.8] & (F44G4.2 & C18E9.4 & nuo-6 & C25H3.9 & ZK809.3 & D2030.4 & Y51H1A.3 & C16A3.5 & F59C6.5 & Y71H2AM.4 & F42G8.10)	Oxidative phosphorylation
RCC0005	r	RCC0005	RCC0005	NA	[c] : atp + h2o --> adp + h + pi	C00002 + C00001 --> C00008 + C00080 + C00009	NA	Maintenance
RM00112	r	RM00112	R00112	1.6.1.2	nadh[m] + nadp[m] <==> nad[m] + nadph[m]	M00004 + M00006 <==> M00003 + M00005	nnt-1	Nicotinate and nicotinamide metabolism
RC00127	r	RC00127	R00127	2.7.4.3	[c] : atp + amp <==> (2) adp	C00002 + C00020 <==> (2) C00008	E02H1.6 | (F38B2.4 | let-754)	Purine metabolism
RM00713	r	RM00713	R00713	1.2.1.24	[m] : sucsal + nad + h2o --> succ + nadh + (2) h	M00232 + M00003 + M00001 --> M00042 + M00004 + (2) M00080	alh-7	Alanine, aspartate and glutamate metabolism
RC00093	r	RC00093	R00093	1.4.1.14	[c] : akg + gln-L + h + nadh --> (2) glu-L + nad	C00026 + C00064 + C00080 + C00004 --> (2) C00025 + C00003	W07E11.1	Alanine, aspartate and glutamate metabolism
RM00243	r	RM00243	R00243	1.4.1.3	[m] : glu-L + h2o + nad <==> akg + h + nadh + nh4	M00025 + M00001 + M00003 <==> M00026 + M00080 + M00004 + M00014	gdh-1	Alanine, aspartate and glutamate metabolism
RM00248	r	RM00248	R00248	1.4.1.3;1.4.1.13	[m] : glu-L + h2o + nadp <==> akg + h + nadph + nh4	M00025 + M00001 + M00006 <==> M00026 + M00080 + M00005 + M00014	gdh-1	Alanine, aspartate and glutamate metabolism
RC00359	r	RC00359	R00359	1.4.3.1	[x] : asp-D + h2o + o2 --> h2o2 + nh4 + oaa	C00402 + C00001 + C00007 --> C00027 + C00014 + C00036	(ddo-1 | ddo-2 | ddo-3)	Alanine, aspartate and glutamate metabolism
RC01397	r	RC01397	R01397	2.1.3.2	[c] : asp-L + cbp --> cbasp + h + pi	C00049 + C00169 --> C00438 + C00080 + C00009	pyr-1	Pyrimidine metabolism
RC01072	r	RC01072	R01072	2.4.2.14	[c] : gln-L + h2o + prpp --> glu-L + ppi + pram	C00064 + C00001 + C00119 --> C00025 + C00013 + C03090	ppat-1	Purine metabolism
RM00355	r	RM00355	R00355	2.6.1.1	[m] : akg + asp-L <==> glu-L + oaa	M00026 + M00049 <==> M00025 + M00036	got-2.1 | got-2.2	Alanine, aspartate and glutamate metabolism
RC00355	r	RC00355	R00355	2.6.1.1	[c] : akg + asp-L <==> glu-L + oaa	C00026 + C00049 <==> C00025 + C00036	got-1.2	Alanine, aspartate and glutamate metabolism
RC00768	r	RC00768	R00768	2.6.1.16	[c] : f6p + gln-L --> gam6p + glu-L	C00085 + C00064 --> C00352 + C00025	gfat-1 | gfat-2	Alanine, aspartate and glutamate metabolism
RM01648	r	RM01648	R01648	2.6.1.19	[m] : 4abut + akg <==> glu-L + sucsal	M00334 + M00026 <==> M00025 + M00232	gta-1	Alanine, aspartate and glutamate metabolism
RC00369	r	RC00369	R00369	2.6.1.44	[c] : ala-L + glx <==> gly + pyr	C00041 + C00048 <==> C00037 + C00022	T09B4.8 | agxt-1	Alanine, aspartate and glutamate metabolism
RM00369	r	RM00369	R00369	2.6.1.44	[m] : ala-L + glx <==> gly + pyr	M00041 + M00048 <==> M00037 + M00022	T09B4.8 | agxt-1	Alanine, aspartate and glutamate metabolism
RC00485	r	RC00485	R00485	3.5.1.1	[c] : asn-L + h2o --> asp-L + nh4	C00152 + C00001 --> C00049 + C00014	C27A7.5	Alanine, aspartate and glutamate metabolism
RC00256	r	RC00256	R00256	3.5.1.2	[c] : gln-L + h2o --> glu-L + nh4	C00064 + C00001 --> C00025 + C00014	glna-1 | glna-2 | glna-3	Alanine, aspartate and glutamate metabolism
RC00261	r	RC00261	R00261	4.1.1.15	[c] : glu-L + h --> 4abut + co2	C00025 + C00080 --> C00334 + C00011	unc-25	Alanine, aspartate and glutamate metabolism
RC01083	r	RC01083	R01083	4.3.2.2	[c] : dcamp <==> amp + fum	C03794 <==> C00020 + C00122	adsl-1	Purine metabolism
RC00253	r	RC00253	R00253	6.3.1.2	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi	C00002 + C00025 + C00014 --> C00008 + C00064 + C00080 + C00009	gln-1 | gln-2 | gln-3 | gln-5 | gln-6	Alanine, aspartate and glutamate metabolism
RC01135	r	RC01135	R01135	6.3.4.4	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	C00049 + C00044 + C00130 --> C03794 + C00035 + (2) C00080 + C00009	adss-1	Purine metabolism
RC00578	r	RC00578	R00578	6.3.5.4	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	C00049 + C00002 + C00064 + C00001 --> C00020 + C00152 + C00025 + C00080 + C00013	asns-1 | asns-2	Alanine, aspartate and glutamate metabolism
RC00575	r	RC00575	R00575	6.3.5.5	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi	(2) C00002 + C00064 + C00001 + C00288 --> (2) C00008 + C00169 + C00025 + (2) C00080 + C00009	pyr-1	Pyrimidine metabolism
RC01514	r	RC01514	R01514	2.7.1.31	[c] : atp + glyc-R --> 3pg + adp + h	C00002 + C00258 --> C00197 + C00008 + C00080	C13B9.2	Glycine, serine and threonine metabolism
RC01513	r	RC01513	R01513	1.1.1.95	[c] : 3pg + nad <==> 3php + h + nadh	C00197 + C00003 <==> C03232 + C00080 + C00004	C31C9.2	Glycine, serine and threonine metabolism
RC04173	r	RC04173	R04173	2.6.1.52	[c] : 3php + glu-L <==> akg + pser-L	C03232 + C00025 <==> C00026 + C01005	F26H9.5	Glycine, serine and threonine metabolism
RC00582	r	RC00582	R00582	3.1.3.3	[c] : h2o + pser-L --> pi + ser-L	C00001 + C01005 --> C00009 + C00065	Y62E10A.13	Glycine, serine and threonine metabolism
RC00585	r	RC00585	R00585	2.6.1.51	pyr + ser-L <==> ala-L + hpyr	C00022 + C00065 <==> C00041 + C00168	agxt-1	Glycine, serine and threonine metabolism
RC00220	r	RC00220	R00220	4.3.1.19	[c] : ser-L --> nh4 + pyr	C00065 --> C00014 + C00022	K01C8.1 | Y51H7C.9	Glycine, serine and threonine metabolism
RC00996	r	RC00996	R00996	4.3.1.19	[c] : thr-L --> 2obut + nh4	C00188 --> C00109 + C00014	K01C8.1 | Y51H7C.9	Glycine, serine and threonine metabolism
RM00945	r	RM00945	R00945	2.1.2.1	[m] : ser-L + thf <==> gly + h2o + mlthf	M00065 + M00101 <==> M00037 + M00001 + M00143	mel-32	Glycine, serine and threonine metabolism
RM04125	r	RM04125	R04125	2.1.2.10	[m] : alpro + thf <==> dhlpro + mlthf + nh4	M01242 + M00101 <==> M02972 + M00143 + M00014	gcst-1 & (gcsh-1 | gcsh-2)	Glycine, serine and threonine metabolism
RM03425	r	RM03425	R03425	1.4.4.2	[m] : gly + h + lpro <==> alpro + co2	M00037 + M00080 + M02051 <==> M01242 + M00011	gldc-1 & (gcsh-1 | gcsh-2)	Glycine, serine and threonine metabolism
RM03815	r	RM03815	R03815	1.8.1.4	[m] : dhlpro + nad <==> h + lpro + nadh	M02972 + M00003 <==> M00080 + M02051 + M00004	dld-1 & (gcsh-1 | gcsh-2)	Glycine, serine and threonine metabolism
RC00366	r	RC00366	R00366	1.4.3.3	[x] : gly + h2o + o2 --> glx + h2o2 + nh4	C00037 + C00001 + C00007 --> C00048 + C00027 + C00014	daao-1	Glycine, serine and threonine metabolism
RC01290	r	RC01290	R01290	4.2.1.22	[c] : hcys-L + ser-L <==> cyst-L + h2o	C00155 + C00065 <==> C02291 + C00001	cbs-1 | cbs-2	Glycine, serine and threonine metabolism
RC01001	r	RC01001	R01001	4.4.1.1	[c] : cyst-L + h2o --> 2obut + cys-L + nh4	C02291 + C00001 --> C00109 + C00097 + C00014	cbl-1 | cth-1 | cth-2	Glycine, serine and threonine metabolism
RM02565	r	RM02565	R02565	1.2.1.8	[m] : betald + h2o + nad --> glyb + (2) h + nadh	M00576 + M00001 + M00003 --> M00719 + (2) M00080 + M00004	alh-9	Glycine, serine and threonine metabolism
RM01025	r	RM01025	R01025	1.1.99.1	[m] : chol + fad <==> betald + fadh2	M00114 + M00016 <==> M00576 + M01352	C34C6.4	Glycine, serine and threonine metabolism
RC00751	r	RC00751	R00751	4.1.2.5	[c] : thr-L <==> acald + gly	C00188 <==> C00084 + C00037	R102.4	Glycine, serine and threonine metabolism
RC06171	r	RC06171	R06171	4.1.2.5	[c] : athr-L <==> acald + gly	C05519 <==> C00084 + C00037	R102.4	Glycine, serine and threonine metabolism
RM00371	r	RM00371	R00371	2.3.1.29	[m] : accoa + gly <==> 2aobut + coa	M00024 + M00037 <==> M03508 + M00010	T25B9.1	Glycine, serine and threonine metabolism
RM01465	r	RM01465	R01465	1.1.1.103	[m] : nad + thr-L <==> 2aobut + h + nadh	M00003 + M00188 <==> M03508 + M00080 + M00004	F08F3.4	Glycine, serine and threonine metabolism
RC00782	r	RC00782	R00782	4.4.1.1	[c] : cys-L + h2o --> h2s + nh4 + pyr	C00097 + C00001 --> C00283 + C00014 + C00022	cbl-1 | cth-1 | cth-2	Cysteine and methionine metabolism
RC00897	r	RC00897	R00897	2.5.1.47	[c] : acser + h2s --> ac + cys-L + h	C00979 + C00283 --> C00033 + C00097 + C00080	F01D4.8 | F13B12.4 | F59A7.7 | T25D3.3 | cysl-1 | cysl-2 | cysl-3 | cysl-4	Cysteine and methionine metabolism
RM02433	r	RM02433	R02433	2.6.1.1	[m] : Lcyst + akg <==> 3spyr + glu-L	M00506 + M00026 <==> M05528 + M00025	got-2.1 | got-2.2	Cysteine and methionine metabolism
RC02619	r	RC02619	R02619	2.6.1.1	[c] : 3sala + akg + h <==> 3snpyr + glu-L	C00606 + C00026 + C00080 <==> C05527 + C00025	got-1.2	Cysteine and methionine metabolism
RM02619	r	RM02619	R02619	2.6.1.1	[m] : 3sala + akg + h <==> 3snpyr + glu-L	M00606 + M00026 + M00080 <==> M05527 + M00025	got-2.1 | got-2.2	Cysteine and methionine metabolism
RC00893	r	RC00893	R00893	1.13.11.20	[c] : cys-L + o2 --> 3sala + (2) h	C00097 + C00007 --> C00606 + (2) C00080	cdo-1	Cysteine and methionine metabolism
RCC0009	r	RCC0009	RCC0009	spontaneous	[c] : 3snpyr + h2o --> h + pyr + so3	C05527 + C00001 --> C00080 + C00022 + C00094	NA	Cysteine and methionine metabolism
RMC0009	r	RMC0009	RMC0009	spontaneous	[m] : 3snpyr + h2o --> h + pyr + so3	M05527 + M00001 --> M00080 + M00022 + M00094	NA	Cysteine and methionine metabolism
RC03104	r	RC03104	R03104	1.1.1.27	[c] : mercplac + nad <==> h + mercppyr + nadh	C05823 + C00003 <==> C00080 + C00957 + C00004	ldh-1	Cysteine and methionine metabolism
